SEX,AGE,HCOVANY,EDUC,EMPSTAT,FTOTINC,VETSTAT,pov,BLACK
Male,59,With health insurance coverage,Some college,Employed,851200,Not a veteran,0,0
Female,66,With health insurance coverage,4+ years of college,Employed,128800,Not a veteran,0,0
Male,60,With health insurance coverage,Some high school,Employed,52400,Not a veteran,0,0
Female,65,With health insurance coverage,High school,Not in labor force,25600,Not a veteran,0,0
Male,53,With health insurance coverage,4+ years of college,Unemployed,25220,Not a veteran,1,0
Male,72,With health insurance coverage,Some college,Not in labor force,16000,Not a veteran,0,1
Male,65,With health insurance coverage,High school,Not in labor force,12700,Not a veteran,1,0
Male,91,With health insurance coverage,Less than high school,Not in labor force,40800,Veteran,0,0
Female,60,With health insurance coverage,High school,Not in labor force,65000,Not a veteran,0,0
Male,64,With health insurance coverage,4+ years of college,Not in labor force,69900,Veteran,0,0
Female,64,With health insurance coverage,Some college,Employed,62000,Not a veteran,0,1
Female,65,With health insurance coverage,High school,Employed,39720,Not a veteran,0,0
Female,66,With health insurance coverage,Some high school,Not in labor force,20700,Not a veteran,0,0
Female,58,With health insurance coverage,Some college,Not in labor force,180,Not a veteran,1,1
Male,66,With health insurance coverage,4+ years of college,Not in labor force,141000,Not a veteran,0,0
Male,66,With health insurance coverage,Some college,Not in labor force,39800,Veteran,0,0
Male,63,With health insurance coverage,High school,Not in labor force,42500,Not a veteran,0,0
Male,41,With health insurance coverage,4+ years of college,Employed,142200,Not a veteran,0,0
Male,40,With health insurance coverage,Some college,Employed,133000,Not a veteran,0,0
Male,64,With health insurance coverage,High school,Employed,21440,Not a veteran,0,0
Male,48,With health insurance coverage,4+ years of college,Employed,216700,Not a veteran,0,0
Male,55,With health insurance coverage,Some college,Not in labor force,75600,Veteran,0,0
Male,63,With health insurance coverage,4+ years of college,Employed,105000,Not a veteran,0,0
Female,59,With health insurance coverage,4+ years of college,Not in labor force,3600,Not a veteran,1,0
Female,86,With health insurance coverage,High school,Not in labor force,47600,Not a veteran,0,0
Female,52,No health insurance coverage,High school,Not in labor force,96000,Not a veteran,0,0
Male,76,With health insurance coverage,High school,Not in labor force,63600,Not a veteran,0,0
Male,51,With health insurance coverage,High school,Employed,85000,Not a veteran,0,0
Female,57,With health insurance coverage,Some college,Employed,52000,Not a veteran,0,0
Male,68,With health insurance coverage,Some college,Employed,31700,Veteran,0,1
Male,43,With health insurance coverage,High school,Employed,95000,Not a veteran,0,0
Male,75,With health insurance coverage,High school,Not in labor force,55200,Veteran,0,0
Male,41,With health insurance coverage,High school,Employed,95000,Not a veteran,0,0
Male,76,With health insurance coverage,High school,Not in labor force,17300,Not a veteran,0,0
Female,46,With health insurance coverage,4+ years of college,Not in labor force,112500,Not a veteran,0,0
Male,65,With health insurance coverage,Some college,Employed,182400,Not a veteran,0,0
Male,56,With health insurance coverage,High school,Employed,132000,Not a veteran,0,0
Male,60,With health insurance coverage,High school,Employed,4400,Not a veteran,1,0
Female,57,With health insurance coverage,Some college,Not in labor force,50000,Not a veteran,0,0
Male,52,With health insurance coverage,Some college,Employed,77600,Not a veteran,0,0
Female,61,With health insurance coverage,High school,Not in labor force,32200,Not a veteran,0,0
Male,81,With health insurance coverage,High school,Not in labor force,52000,Not a veteran,0,0
Male,40,With health insurance coverage,4+ years of college,Employed,105000,Not a veteran,0,0
Female,38,With health insurance coverage,4+ years of college,Unemployed,106000,Not a veteran,0,0
Female,46,With health insurance coverage,Some college,Employed,600,Not a veteran,1,1
Female,34,With health insurance coverage,Some college,Not in labor force,201000,Not a veteran,0,0
Female,62,With health insurance coverage,High school,Employed,40000,Not a veteran,0,0
Male,64,With health insurance coverage,High school,Not in labor force,20700,Not a veteran,0,0
Male,69,With health insurance coverage,Some college,Not in labor force,12600,Not a veteran,1,0
Female,89,With health insurance coverage,Some college,Not in labor force,13100,Not a veteran,0,1
Female,60,With health insurance coverage,High school,Not in labor force,14000,Not a veteran,1,0
Female,72,With health insurance coverage,High school,Not in labor force,42500,Not a veteran,0,0
Male,80,With health insurance coverage,4+ years of college,Not in labor force,42600,Not a veteran,0,0
Male,54,With health insurance coverage,Some college,Employed,74000,Not a veteran,0,0
Female,66,With health insurance coverage,Some college,Not in labor force,28900,Not a veteran,0,0
Male,73,With health insurance coverage,Some high school,Not in labor force,27100,Not a veteran,0,0
Male,51,With health insurance coverage,Some college,Employed,134600,Not a veteran,0,0
Female,54,With health insurance coverage,4+ years of college,Employed,260000,Not a veteran,0,0
Male,59,With health insurance coverage,High school,Not in labor force,2200,Veteran,1,0
Female,35,With health insurance coverage,4+ years of college,Employed,102300,Not a veteran,0,0
Male,71,With health insurance coverage,Some college,Not in labor force,77700,Not a veteran,0,0
Male,60,With health insurance coverage,Some high school,Employed,16100,Not a veteran,0,1
Female,34,With health insurance coverage,4+ years of college,Employed,97000,Not a veteran,0,0
Female,55,No health insurance coverage,Some college,Unemployed,52800,Not a veteran,0,0
Female,64,With health insurance coverage,High school,Employed,20000,Not a veteran,0,0
Female,77,With health insurance coverage,4+ years of college,Not in labor force,76810,Not a veteran,0,0
Female,36,With health insurance coverage,Some college,Employed,172000,Not a veteran,0,0
Female,85,With health insurance coverage,Less than high school,Not in labor force,10560,Not a veteran,1,0
Female,67,With health insurance coverage,4+ years of college,Not in labor force,23300,Not a veteran,0,0
Female,64,With health insurance coverage,High school,Employed,57500,Not a veteran,0,0
Male,27,With health insurance coverage,4+ years of college,Employed,288000,Not a veteran,0,0
Male,57,With health insurance coverage,Some college,Not in labor force,127000,Not a veteran,0,0
Female,71,With health insurance coverage,High school,Not in labor force,262600,Not a veteran,0,0
Male,59,With health insurance coverage,High school,Employed,62930,Not a veteran,0,0
Female,49,With health insurance coverage,High school,Employed,146100,Not a veteran,0,0
Male,58,With health insurance coverage,Some high school,Not in labor force,9500,Not a veteran,1,1
Female,40,With health insurance coverage,4+ years of college,Not in labor force,106000,Not a veteran,0,0
Female,64,With health insurance coverage,High school,Employed,146400,Not a veteran,0,0
Female,60,With health insurance coverage,4+ years of college,Employed,110000,Not a veteran,0,1
Female,42,With health insurance coverage,High school,Employed,51000,Not a veteran,0,0
Male,24,With health insurance coverage,4+ years of college,Employed,70200,Not a veteran,0,0
Female,25,With health insurance coverage,High school,Not in labor force,80100,Not a veteran,0,0
Female,57,With health insurance coverage,Some college,Not in labor force,0,Not a veteran,1,1
Female,76,With health insurance coverage,High school,Not in labor force,66600,Not a veteran,0,0
Male,19,With health insurance coverage,Some college,Unemployed,15000,Not a veteran,0,0
Female,44,With health insurance coverage,4+ years of college,Employed,106000,Not a veteran,0,0
Male,36,With health insurance coverage,High school,Employed,22000,Not a veteran,0,0
Female,86,With health insurance coverage,High school,Not in labor force,20500,Not a veteran,0,0
Female,46,With health insurance coverage,High school,Not in labor force,131000,Not a veteran,0,0
Male,70,With health insurance coverage,High school,Not in labor force,71300,Not a veteran,0,0
Female,43,With health insurance coverage,4+ years of college,Employed,84800,Veteran,0,0
Male,67,With health insurance coverage,4+ years of college,Employed,146800,Veteran,0,0
Male,35,With health insurance coverage,4+ years of college,Employed,28200,Not a veteran,1,0
Female,80,With health insurance coverage,4+ years of college,Not in labor force,51000,Not a veteran,0,0
Male,71,With health insurance coverage,High school,Not in labor force,43300,Veteran,0,0
Female,57,With health insurance coverage,Some college,Employed,116000,Not a veteran,0,0
Female,95,With health insurance coverage,High school,Not in labor force,36200,Not a veteran,0,0
Female,86,With health insurance coverage,High school,Not in labor force,0,Not a veteran,1,0
Female,89,With health insurance coverage,High school,Not in labor force,40300,Not a veteran,0,0
Female,23,With health insurance coverage,Some college,Employed,13000,Not a veteran,1,0
Male,65,With health insurance coverage,High school,Employed,156300,Not a veteran,0,0
Female,51,With health insurance coverage,4+ years of college,Employed,107800,Not a veteran,0,0
Female,55,With health insurance coverage,4+ years of college,Employed,47000,Not a veteran,0,0
Female,31,With health insurance coverage,4+ years of college,Employed,134600,Not a veteran,0,0
Male,78,With health insurance coverage,4+ years of college,Not in labor force,132200,Not a veteran,0,0
Male,41,With health insurance coverage,4+ years of college,Employed,158000,Not a veteran,0,0
Female,69,With health insurance coverage,High school,Not in labor force,42800,Not a veteran,0,0
Male,71,With health insurance coverage,High school,Not in labor force,29000,Veteran,0,0
Male,71,With health insurance coverage,Some college,Not in labor force,19750,Not a veteran,1,1
Male,52,With health insurance coverage,Some college,Employed,85000,Veteran,0,0
Male,57,With health insurance coverage,High school,Not in labor force,80000,Not a veteran,0,0
Male,22,With health insurance coverage,Some college,Employed,26000,Not a veteran,0,0
Male,77,With health insurance coverage,4+ years of college,Employed,116160,Not a veteran,0,0
Female,52,With health insurance coverage,4+ years of college,Employed,591500,Not a veteran,0,0
Female,49,With health insurance coverage,Some college,Employed,34410,Not a veteran,0,0
Female,42,With health insurance coverage,4+ years of college,Employed,42000,Veteran,0,0
Female,79,With health insurance coverage,4+ years of college,Employed,96000,Not a veteran,0,0
Female,35,With health insurance coverage,4+ years of college,Employed,58200,Not a veteran,0,0
Female,44,With health insurance coverage,High school,Employed,141300,Not a veteran,0,0
Female,60,With health insurance coverage,High school,Not in labor force,1400,Not a veteran,1,0
Female,50,No health insurance coverage,High school,Employed,70300,Not a veteran,0,0
Male,33,With health insurance coverage,4+ years of college,Employed,137000,Not a veteran,0,0
Female,68,With health insurance coverage,Some college,Employed,101400,Not a veteran,0,0
Male,58,With health insurance coverage,High school,Not in labor force,19000,Veteran,0,0
Female,69,With health insurance coverage,Some high school,Not in labor force,13200,Not a veteran,0,0
Male,37,With health insurance coverage,High school,Employed,109000,Not a veteran,0,0
Female,61,With health insurance coverage,Some college,Not in labor force,40800,Not a veteran,0,0
Female,28,With health insurance coverage,High school,Employed,35000,Not a veteran,0,0
Female,28,With health insurance coverage,4+ years of college,Employed,50000,Not a veteran,0,0
Female,32,With health insurance coverage,4+ years of college,Employed,61000,Not a veteran,0,0
Female,71,With health insurance coverage,Some college,Not in labor force,61200,Veteran,0,0
Female,65,With health insurance coverage,4+ years of college,Employed,76200,Not a veteran,0,0
Female,59,With health insurance coverage,High school,Not in labor force,36200,Not a veteran,0,0
Male,58,With health insurance coverage,High school,Employed,140000,Veteran,0,0
Female,75,With health insurance coverage,Some college,Not in labor force,47000,Not a veteran,0,0
Male,95,With health insurance coverage,High school,Not in labor force,21800,Veteran,0,0
Male,77,With health insurance coverage,High school,Not in labor force,51230,Veteran,0,0
Female,47,With health insurance coverage,4+ years of college,Employed,237000,Not a veteran,0,0
Female,63,With health insurance coverage,High school,Employed,35500,Not a veteran,0,0
Female,31,With health insurance coverage,4+ years of college,Employed,70000,Not a veteran,0,0
Male,36,With health insurance coverage,4+ years of college,Employed,150000,Not a veteran,0,0
Male,66,With health insurance coverage,4+ years of college,Employed,82100,Not a veteran,0,0
Male,57,With health insurance coverage,High school,Employed,47000,Not a veteran,0,0
Male,46,No health insurance coverage,Some college,Employed,90000,Not a veteran,0,0
Male,79,With health insurance coverage,Some college,Not in labor force,81720,Not a veteran,0,0
Male,37,With health insurance coverage,High school,Employed,17000,Not a veteran,1,0
Male,54,With health insurance coverage,Some college,Employed,250110,Not a veteran,0,0
Male,65,With health insurance coverage,High school,Employed,31000,Not a veteran,0,0
Male,43,With health insurance coverage,4+ years of college,Employed,203000,Not a veteran,0,0
Male,75,With health insurance coverage,4+ years of college,Not in labor force,229000,Not a veteran,0,0
Male,95,With health insurance coverage,High school,Not in labor force,33000,Veteran,0,0
Female,27,With health insurance coverage,High school,Employed,21600,Not a veteran,0,0
Female,69,With health insurance coverage,High school,Not in labor force,100400,Not a veteran,0,0
Male,57,With health insurance coverage,High school,Employed,55400,Not a veteran,0,0
Female,53,With health insurance coverage,High school,Employed,87000,Not a veteran,0,0
Female,69,With health insurance coverage,Some college,Not in labor force,24900,Not a veteran,0,0
Male,70,With health insurance coverage,4+ years of college,Not in labor force,23000,Not a veteran,0,0
Male,39,With health insurance coverage,High school,Unemployed,27800,Not a veteran,1,0
Female,69,With health insurance coverage,High school,Not in labor force,12800,Not a veteran,1,0
Female,45,With health insurance coverage,4+ years of college,Employed,163000,Not a veteran,0,0
Female,59,With health insurance coverage,Some college,Employed,99800,Not a veteran,0,0
Female,76,With health insurance coverage,High school,Not in labor force,33700,Not a veteran,0,0
Female,77,With health insurance coverage,High school,Not in labor force,110600,Not a veteran,0,0
Male,66,With health insurance coverage,Some college,Not in labor force,138800,Not a veteran,0,0
Female,34,With health insurance coverage,Some college,Employed,65300,Not a veteran,0,1
Female,91,With health insurance coverage,High school,Not in labor force,0,Not a veteran,1,0
Male,39,With health insurance coverage,4+ years of college,Employed,154000,Not a veteran,0,0
Female,66,With health insurance coverage,4+ years of college,Employed,120000,Not a veteran,0,1
Female,55,With health insurance coverage,Some college,Employed,38500,Not a veteran,0,1
Female,83,With health insurance coverage,4+ years of college,Not in labor force,0,Not a veteran,1,0
Female,46,With health insurance coverage,4+ years of college,Employed,130000,Not a veteran,0,1
Female,65,With health insurance coverage,High school,Not in labor force,70100,Not a veteran,0,0
Female,49,With health insurance coverage,High school,Employed,50690,Not a veteran,0,0
Female,61,With health insurance coverage,Some college,Not in labor force,38000,Not a veteran,0,0
Female,90,With health insurance coverage,High school,Not in labor force,0,Not a veteran,1,0
Female,48,With health insurance coverage,Some college,Employed,36000,Not a veteran,0,1
Female,66,With health insurance coverage,High school,Not in labor force,147000,Not a veteran,0,0
Female,46,With health insurance coverage,High school,Employed,76600,Not a veteran,0,0
Female,47,With health insurance coverage,Some college,Employed,78500,Not a veteran,0,0
Male,42,With health insurance coverage,Some college,Employed,90000,Not a veteran,0,0
Female,57,With health insurance coverage,Some college,Employed,62000,Not a veteran,0,0
Male,66,With health insurance coverage,Some college,Not in labor force,70400,Veteran,0,0
Male,56,With health insurance coverage,Some college,Unemployed,38000,Not a veteran,0,0
Female,51,With health insurance coverage,High school,Employed,147300,Veteran,0,1
Female,70,With health insurance coverage,High school,Not in labor force,14000,Not a veteran,0,0
Female,60,With health insurance coverage,High school,Employed,48000,Not a veteran,0,0
Female,71,With health insurance coverage,High school,Not in labor force,28200,Not a veteran,0,0
Male,77,With health insurance coverage,High school,Not in labor force,67900,Not a veteran,0,0
Female,59,With health insurance coverage,4+ years of college,Not in labor force,84040,Not a veteran,0,0
Male,36,With health insurance coverage,High school,Employed,50000,Not a veteran,0,0
Male,34,With health insurance coverage,4+ years of college,Unemployed,46180,Not a veteran,0,0
Female,69,With health insurance coverage,High school,Not in labor force,26500,Not a veteran,0,0
Female,72,With health insurance coverage,Some college,Not in labor force,42500,Not a veteran,0,0
Male,50,With health insurance coverage,Some college,Employed,84000,Not a veteran,0,0
Female,54,With health insurance coverage,Some high school,Not in labor force,21800,Not a veteran,1,0
Female,84,With health insurance coverage,High school,Not in labor force,50900,Not a veteran,0,0
Male,68,With health insurance coverage,High school,Not in labor force,87000,Not a veteran,0,1
Female,57,With health insurance coverage,High school,Not in labor force,38000,Not a veteran,0,0
Female,63,With health insurance coverage,4+ years of college,Not in labor force,153700,Not a veteran,0,1
Female,71,With health insurance coverage,4+ years of college,Not in labor force,88000,Not a veteran,0,0
Female,31,With health insurance coverage,4+ years of college,Employed,91800,Not a veteran,0,0
Male,79,With health insurance coverage,Some college,Not in labor force,33400,Not a veteran,0,0
Male,66,With health insurance coverage,4+ years of college,Not in labor force,70000,Not a veteran,0,0
Male,59,With health insurance coverage,Some college,Not in labor force,192300,Veteran,0,1
Male,43,With health insurance coverage,Some college,Not in labor force,51200,Not a veteran,0,0
Male,62,With health insurance coverage,High school,Employed,100000,Not a veteran,0,0
Female,87,With health insurance coverage,High school,Not in labor force,17100,Not a veteran,0,0
Male,26,With health insurance coverage,4+ years of college,Employed,43700,Not a veteran,0,0
Female,39,With health insurance coverage,4+ years of college,Employed,195200,Not a veteran,0,0
Female,23,With health insurance coverage,4+ years of college,Employed,15000,Not a veteran,0,1
Female,21,With health insurance coverage,High school,Employed,65000,Not a veteran,0,0
Male,37,With health insurance coverage,Some college,Not in labor force,1200,Not a veteran,1,0
Female,31,With health insurance coverage,High school,Employed,31000,Not a veteran,0,1
Male,59,With health insurance coverage,High school,Not in labor force,113800,Not a veteran,0,0
Female,44,With health insurance coverage,4+ years of college,Employed,122290,Veteran,0,0
Male,81,With health insurance coverage,4+ years of college,Employed,70900,Veteran,0,0
Female,38,With health insurance coverage,4+ years of college,Employed,490400,Not a veteran,0,0
Male,31,With health insurance coverage,High school,Employed,85000,Not a veteran,0,0
Male,60,With health insurance coverage,High school,Employed,9400,Veteran,1,1
Female,59,With health insurance coverage,Some college,Employed,181800,Not a veteran,0,0
Male,62,With health insurance coverage,4+ years of college,Employed,135000,Not a veteran,0,0
Female,54,With health insurance coverage,High school,Not in labor force,69000,Not a veteran,0,0
Male,24,No health insurance coverage,Less than high school,Employed,41200,Not a veteran,0,0
Male,72,With health insurance coverage,Some high school,Not in labor force,32600,Not a veteran,0,0
Female,26,With health insurance coverage,Some college,Employed,60000,Not a veteran,0,0
Male,60,With health insurance coverage,4+ years of college,Employed,192000,Not a veteran,0,0
Female,66,With health insurance coverage,4+ years of college,Not in labor force,128000,Not a veteran,0,0
Female,60,With health insurance coverage,4+ years of college,Employed,119600,Not a veteran,0,0
Male,83,With health insurance coverage,4+ years of college,Not in labor force,37000,Veteran,0,0
Male,31,With health insurance coverage,4+ years of college,Employed,79000,Not a veteran,0,0
Male,45,With health insurance coverage,Some college,Employed,173700,Not a veteran,0,0
Male,72,With health insurance coverage,4+ years of college,Not in labor force,39000,Not a veteran,0,0
Female,63,With health insurance coverage,High school,Employed,168400,Not a veteran,0,0
Female,41,With health insurance coverage,High school,Employed,25000,Not a veteran,0,1
Male,57,With health insurance coverage,Some college,Not in labor force,131000,Not a veteran,0,0
Male,63,With health insurance coverage,High school,Not in labor force,53400,Veteran,0,0
Female,78,With health insurance coverage,High school,Not in labor force,27900,Not a veteran,0,0
Female,95,With health insurance coverage,Some college,Not in labor force,23500,Not a veteran,0,0
Male,21,With health insurance coverage,High school,Employed,65300,Not a veteran,0,0
Male,82,With health insurance coverage,High school,Not in labor force,56900,Veteran,0,0
Female,40,With health insurance coverage,4+ years of college,Employed,136100,Not a veteran,0,0
Female,48,With health insurance coverage,Some college,Employed,48300,Not a veteran,0,1
Male,69,With health insurance coverage,Some college,Not in labor force,29800,Veteran,0,0
Male,77,With health insurance coverage,4+ years of college,Not in labor force,59000,Not a veteran,0,0
Male,27,With health insurance coverage,4+ years of college,Employed,38000,Not a veteran,0,0
Female,23,With health insurance coverage,Some college,Employed,166000,Not a veteran,0,0
Female,49,With health insurance coverage,4+ years of college,Employed,75800,Not a veteran,0,0
Male,26,No health insurance coverage,High school,Employed,21000,Not a veteran,0,0
Female,47,With health insurance coverage,4+ years of college,Employed,87000,Not a veteran,0,0
Male,65,With health insurance coverage,4+ years of college,Not in labor force,34000,Not a veteran,0,0
Male,22,With health insurance coverage,High school,Employed,52000,Not a veteran,0,0
Female,39,With health insurance coverage,High school,Not in labor force,62000,Not a veteran,0,0
Female,83,With health insurance coverage,High school,Not in labor force,69200,Not a veteran,0,0
Female,32,With health insurance coverage,4+ years of college,Employed,233000,Not a veteran,0,0
Male,66,With health insurance coverage,4+ years of college,Not in labor force,162000,Not a veteran,0,0
Male,50,With health insurance coverage,Some college,Employed,166000,Veteran,0,0
Female,51,With health insurance coverage,4+ years of college,Employed,132600,Not a veteran,0,0
Male,59,With health insurance coverage,High school,Employed,63690,Not a veteran,0,0
Male,86,With health insurance coverage,Some high school,Not in labor force,40100,Veteran,0,0
Female,91,With health insurance coverage,High school,Not in labor force,35300,Not a veteran,0,0
Male,60,With health insurance coverage,High school,Not in labor force,94300,Not a veteran,0,0
Male,48,With health insurance coverage,High school,Employed,50000,Not a veteran,0,0
Male,68,With health insurance coverage,High school,Employed,102000,Not a veteran,0,0
Male,56,With health insurance coverage,Some college,Employed,66600,Not a veteran,0,0
Female,47,With health insurance coverage,Some college,Employed,123000,Not a veteran,0,0
Male,67,With health insurance coverage,4+ years of college,Not in labor force,62000,Not a veteran,0,0
Female,71,With health insurance coverage,Some college,Not in labor force,68600,Not a veteran,0,0
Male,71,With health insurance coverage,High school,Not in labor force,39300,Not a veteran,0,0
Male,34,No health insurance coverage,Less than high school,Employed,29200,Not a veteran,1,0
Female,33,With health insurance coverage,Some college,Employed,162000,Not a veteran,0,0
Male,33,With health insurance coverage,Some high school,Employed,47000,Not a veteran,0,0
Female,43,With health insurance coverage,High school,Employed,50000,Not a veteran,0,0
Female,33,With health insurance coverage,4+ years of college,Employed,105000,Not a veteran,0,0
Female,57,With health insurance coverage,4+ years of college,Employed,11000,Not a veteran,1,0
Female,60,With health insurance coverage,High school,Employed,85000,Not a veteran,0,0
Male,81,With health insurance coverage,High school,Not in labor force,44200,Veteran,0,0
Male,41,With health insurance coverage,Some college,Employed,80500,Not a veteran,0,0
Female,91,With health insurance coverage,High school,Not in labor force,24000,Not a veteran,0,0
Female,87,With health insurance coverage,High school,Not in labor force,22600,Not a veteran,0,0
Female,73,With health insurance coverage,High school,Not in labor force,62000,Not a veteran,0,1
Female,74,With health insurance coverage,High school,Not in labor force,92340,Not a veteran,0,0
Female,83,With health insurance coverage,High school,Not in labor force,57600,Not a veteran,0,0
Female,30,No health insurance coverage,4+ years of college,Not in labor force,64000,Not a veteran,0,0
Male,76,With health insurance coverage,Some college,Not in labor force,43200,Not a veteran,0,0
Male,65,With health insurance coverage,4+ years of college,Employed,335600,Veteran,0,0
Male,46,With health insurance coverage,High school,Employed,10000,Not a veteran,1,1
Female,56,With health insurance coverage,4+ years of college,Employed,180010,Not a veteran,0,0
Male,65,With health insurance coverage,High school,Not in labor force,96000,Veteran,0,0
Male,65,With health insurance coverage,Some college,Not in labor force,155000,Veteran,0,0
Female,66,With health insurance coverage,Some college,Employed,131600,Not a veteran,0,0
Female,46,With health insurance coverage,4+ years of college,Employed,31500,Not a veteran,0,0
Female,62,With health insurance coverage,High school,Not in labor force,52400,Not a veteran,0,1
Female,78,With health insurance coverage,4+ years of college,Employed,472000,Not a veteran,0,0
Male,46,No health insurance coverage,High school,Unemployed,69500,Not a veteran,0,0
Male,81,With health insurance coverage,High school,Not in labor force,104500,Veteran,0,0
Female,67,With health insurance coverage,High school,Employed,23700,Not a veteran,0,0
Female,55,With health insurance coverage,Some college,Employed,62400,Not a veteran,0,0
Male,79,With health insurance coverage,High school,Not in labor force,20130,Veteran,0,1
Male,72,With health insurance coverage,4+ years of college,Not in labor force,287200,Not a veteran,0,0
Female,76,With health insurance coverage,High school,Not in labor force,47000,Not a veteran,0,0
Female,48,With health insurance coverage,4+ years of college,Employed,28000,Not a veteran,0,0
Male,34,With health insurance coverage,4+ years of college,Employed,95000,Not a veteran,0,0
Female,42,With health insurance coverage,4+ years of college,Employed,88000,Not a veteran,0,0
Male,36,With health insurance coverage,4+ years of college,Employed,67500,Not a veteran,0,0
Male,51,With health insurance coverage,Some college,Employed,91700,Not a veteran,0,1
Male,62,With health insurance coverage,High school,Not in labor force,3000,Not a veteran,1,0
Female,64,With health insurance coverage,High school,Employed,46000,Not a veteran,0,0
Male,24,With health insurance coverage,High school,Employed,116300,Not a veteran,0,0
Male,23,With health insurance coverage,4+ years of college,Employed,58000,Not a veteran,0,0
Female,63,With health insurance coverage,Some college,Employed,40400,Not a veteran,0,0
Female,58,With health insurance coverage,High school,Employed,45000,Not a veteran,0,0
Female,76,With health insurance coverage,4+ years of college,Not in labor force,173600,Not a veteran,0,0
Male,72,With health insurance coverage,4+ years of college,Employed,60720,Not a veteran,0,0
Male,62,With health insurance coverage,4+ years of college,Employed,200000,Not a veteran,0,0
Female,48,With health insurance coverage,Some college,Employed,46000,Not a veteran,0,0
Female,95,With health insurance coverage,High school,Not in labor force,38000,Not a veteran,0,0
Male,57,With health insurance coverage,High school,Employed,71400,Not a veteran,0,0
Male,31,With health insurance coverage,Some college,Employed,44000,Not a veteran,0,0
Female,65,With health insurance coverage,High school,Not in labor force,1100,Not a veteran,1,0
Male,62,With health insurance coverage,Some college,Not in labor force,57000,Not a veteran,0,0
Male,38,With health insurance coverage,High school,Employed,83000,Not a veteran,0,0
Male,73,With health insurance coverage,High school,Not in labor force,35800,Not a veteran,0,0
Male,51,With health insurance coverage,High school,Not in labor force,74000,Not a veteran,0,0
Female,42,With health insurance coverage,High school,Not in labor force,50280,Not a veteran,0,0
Female,52,With health insurance coverage,4+ years of college,Employed,255600,Not a veteran,0,0
Female,24,With health insurance coverage,Some college,Employed,41000,Not a veteran,0,0
Male,27,With health insurance coverage,4+ years of college,Employed,61800,Not a veteran,0,0
Female,72,With health insurance coverage,Some college,Not in labor force,46500,Not a veteran,0,1
Male,83,With health insurance coverage,Less than high school,Not in labor force,73900,Veteran,0,0
Male,69,With health insurance coverage,4+ years of college,Not in labor force,71700,Not a veteran,0,1
Female,60,With health insurance coverage,High school,Employed,39200,Not a veteran,0,0
Male,95,With health insurance coverage,High school,Not in labor force,33640,Veteran,0,0
Female,43,With health insurance coverage,High school,Employed,115900,Not a veteran,0,0
Male,47,With health insurance coverage,High school,Employed,72400,Not a veteran,0,0
Male,35,With health insurance coverage,High school,Employed,60000,Not a veteran,0,0
Female,60,With health insurance coverage,High school,Employed,115000,Not a veteran,0,0
Male,28,With health insurance coverage,4+ years of college,Employed,101000,Not a veteran,0,0
Male,62,With health insurance coverage,High school,Not in labor force,30000,Not a veteran,0,0
Male,58,With health insurance coverage,High school,Employed,112000,Not a veteran,0,0
Female,55,With health insurance coverage,High school,Employed,7000,Not a veteran,1,1
Male,62,With health insurance coverage,High school,Employed,88000,Not a veteran,0,0
Male,45,With health insurance coverage,High school,Employed,39600,Not a veteran,0,0
Male,61,With health insurance coverage,High school,Not in labor force,20400,Not a veteran,1,0
Female,39,With health insurance coverage,Some college,Employed,55000,Not a veteran,0,0
Female,65,With health insurance coverage,High school,Not in labor force,54300,Not a veteran,0,0
Male,69,With health insurance coverage,High school,Not in labor force,96800,Not a veteran,0,1
Female,47,With health insurance coverage,4+ years of college,Employed,55000,Not a veteran,0,0
Male,25,No health insurance coverage,High school,Employed,48000,Not a veteran,0,0
Female,28,With health insurance coverage,High school,Not in labor force,0,Not a veteran,1,0
Female,50,With health insurance coverage,High school,Not in labor force,18400,Not a veteran,0,0
Female,57,With health insurance coverage,High school,Employed,24400,Not a veteran,1,0
Female,59,With health insurance coverage,4+ years of college,Employed,224000,Not a veteran,0,0
Female,80,With health insurance coverage,High school,Not in labor force,27100,Not a veteran,0,0
Male,69,With health insurance coverage,Some college,Employed,72800,Not a veteran,0,0
Female,90,With health insurance coverage,High school,Not in labor force,23500,Not a veteran,0,0
Female,74,With health insurance coverage,High school,Not in labor force,45800,Not a veteran,0,0
Male,84,With health insurance coverage,4+ years of college,Not in labor force,58000,Not a veteran,0,0
Male,39,With health insurance coverage,4+ years of college,Employed,1009000,Not a veteran,0,0
Female,26,With health insurance coverage,Some high school,Employed,9000,Not a veteran,1,0
Male,83,With health insurance coverage,High school,Not in labor force,80200,Veteran,0,0
Male,37,With health insurance coverage,Some college,Employed,55000,Not a veteran,0,0
Male,45,With health insurance coverage,4+ years of college,Employed,77200,Not a veteran,0,0
Male,66,With health insurance coverage,High school,Employed,76000,Not a veteran,0,0
Female,46,With health insurance coverage,Some college,Employed,143000,Not a veteran,0,0
Female,82,With health insurance coverage,4+ years of college,Not in labor force,68000,Not a veteran,0,0
Female,66,With health insurance coverage,4+ years of college,Employed,244000,Not a veteran,0,0
Male,78,With health insurance coverage,4+ years of college,Not in labor force,165260,Veteran,0,0
Female,66,With health insurance coverage,Some college,Unemployed,96550,Not a veteran,0,0
Male,56,With health insurance coverage,High school,Employed,79000,Not a veteran,0,0
Female,41,With health insurance coverage,4+ years of college,Employed,370000,Not a veteran,0,0
